         T[MeV]          p/T^4          e/T^4          s/T^3          chi2B          chi4B    chi2B-chi4B
      99.000000       0.266756       1.203882       1.470638   2.626881E-03   2.626666E-03   2.147758E-07
     100.000000       0.270869       1.227493       1.498361   2.894824E-03   2.894567E-03   2.567647E-07
     101.000000       0.275055       1.251783       1.526838   3.184760E-03   3.184454E-03   3.058803E-07
     102.000000       0.279318       1.276776       1.556094   3.498042E-03   3.497679E-03   3.631454E-07
     103.000000       0.283660       1.302496       1.586156   3.836074E-03   3.835644E-03   4.297019E-07
     104.000000       0.288086       1.328967       1.617053   4.200315E-03   4.199808E-03   5.068213E-07
     105.000000       0.292598       1.356213       1.648811   4.592277E-03   4.591681E-03   5.959154E-07
     106.000000       0.297200       1.384260       1.681460   5.013529E-03   5.012830E-03   6.985482E-07
     107.000000       0.301895       1.413132       1.715027   5.465692E-03   5.464875E-03   8.164478E-07
     108.000000       0.306686       1.442855       1.749541   5.950443E-03   5.949491E-03   9.515194E-07
     109.000000       0.311577       1.473456       1.785033   6.469515E-03   6.468409E-03   1.105858E-06
     110.000000       0.316572       1.504960       1.821532   7.024698E-03   7.023416E-03   1.281764E-06
     111.000000       0.321674       1.537395       1.859068   7.617835E-03   7.616353E-03   1.481755E-06
     112.000000       0.326886       1.570787       1.897673   8.250829E-03   8.249120E-03   1.708583E-06
     113.000000       0.332213       1.605165       1.937378   8.925636E-03   8.923671E-03   1.965249E-06
     114.000000       0.337658       1.640556       1.978214   9.644270E-03   9.642015E-03   2.255020E-06
     115.000000       0.343225       1.676989       2.020214   1.040880E-02   1.040622E-02   2.581446E-06
     116.000000       0.348917       1.714492       2.063409   1.122136E-02   1.121841E-02   2.948375E-06
     117.000000       0.354739       1.753094       2.107833   1.208412E-02   1.208076E-02   3.359975E-06
     118.000000       0.360694       1.792824       2.153518   1.299932E-02   1.299550E-02   3.820749E-06
     119.000000       0.366787       1.833713       2.200499   1.396927E-02   1.396493E-02   4.335553E-06
     120.000000       0.373021       1.875789       2.248810   1.499630E-02   1.499139E-02   4.909622E-06
     121.000000       0.379400       1.919084       2.298484   1.608283E-02   1.607728E-02   5.548583E-06
     122.000000       0.385929       1.963627       2.349556   1.723130E-02   1.722504E-02   6.258478E-06
     123.000000       0.392612       2.009449       2.402061   1.844424E-02   1.843720E-02   7.045787E-06
     124.000000       0.399453       2.056582       2.456035   1.972422E-02   1.971630E-02   7.917446E-06
     125.000000       0.406456       2.105056       2.511511   2.107384E-02   2.106496E-02   8.880872E-06
     126.000000       0.413625       2.154902       2.568528   2.249579E-02   2.248584E-02   9.943984E-06
     127.000000       0.420965       2.206154       2.627119   2.399278E-02   2.398167E-02   1.111523E-05
     128.000000       0.428481       2.258841       2.687322   2.556760E-02   2.555520E-02   1.240359E-05
     129.000000       0.436176       2.312996       2.749172   2.722307E-02   2.720925E-02   1.381864E-05
     130.000000       0.444056       2.368652       2.812707   2.896206E-02   2.894669E-02   1.537054E-05
     131.000000       0.452124       2.425840       2.877963   3.078749E-02   3.077042E-02   1.707006E-05
     132.000000       0.460385       2.484592       2.944977   3.270235E-02   3.268342E-02   1.892864E-05
     133.000000       0.468844       2.544943       3.013787   3.470963E-02   3.468867E-02   2.095837E-05
     134.000000       0.477505       2.606922       3.084428   3.681241E-02   3.678924E-02   2.317204E-05
     135.000000       0.486374       2.670565       3.156939   3.901380E-02   3.898822E-02   2.558316E-05
     136.000000       0.495454       2.735902       3.231356   4.131694E-02   4.128873E-02   2.820601E-05
     137.000000       0.504751       2.802967       3.307718   4.372503E-02   4.369397E-02   3.105560E-05
     138.000000       0.514269       2.871792       3.386061   4.624129E-02   4.620715E-02   3.414778E-05
     139.000000       0.524013       2.942411       3.466424   4.886902E-02   4.883152E-02   3.749921E-05
     140.000000       0.533988       3.014855       3.548843   5.161151E-02   5.157038E-02   4.112741E-05
     141.000000       0.544199       3.089157       3.633357   5.447212E-02   5.442707E-02   4.505077E-05
     142.000000       0.554650       3.165351       3.720001   5.745423E-02   5.740494E-02   4.928859E-05
     143.000000       0.565347       3.243468       3.808815   6.056127E-02   6.050741E-02   5.386113E-05
     144.000000       0.576294       3.323540       3.899835   6.379668E-02   6.373789E-02   5.878958E-05
     145.000000       0.587497       3.405601       3.993098   6.716396E-02   6.709986E-02   6.409613E-05
     146.000000       0.598960       3.489681       4.088641   7.066662E-02   7.059681E-02   6.980401E-05
     147.000000       0.610688       3.575814       4.186502   7.430820E-02   7.423226E-02   7.593748E-05
     148.000000       0.622686       3.664031       4.286717   7.809228E-02   7.800976E-02   8.252187E-05
     149.000000       0.634959       3.754363       4.389323   8.202246E-02   8.193287E-02   8.958361E-05
     150.000000       0.647513       3.846843       4.494356   8.610235E-02   8.600520E-02   9.715029E-05
     151.000000       0.660352       3.941500       4.601852   9.033561E-02   9.023036E-02   1.052506E-04
     152.000000       0.673481       4.038367       4.711848   9.472591E-02   9.461200E-02   1.139145E-04
     153.000000       0.686905       4.137474       4.824379   9.927693E-02   9.915376E-02   1.231731E-04
     154.000000       0.700629       4.238851       4.939480   1.039924E-01   1.038593E-01   1.330588E-04
     155.000000       0.714659       4.342528       5.057188   1.088760E-01   1.087324E-01   1.436052E-04
     156.000000       0.729000       4.448536       5.177536   1.139315E-01   1.137766E-01   1.548473E-04
     157.000000       0.743655       4.556905       5.300560   1.191626E-01   1.189958E-01   1.668213E-04
     158.000000       0.758631       4.667662       5.426293   1.245731E-01   1.243936E-01   1.795649E-04
     159.000000       0.773932       4.780838       5.554770   1.301669E-01   1.299738E-01   1.931170E-04
     160.000000       0.789564       4.896460       5.686024   1.359476E-01   1.357400E-01   2.075181E-04
     161.000000       0.805531       5.014557       5.820088   1.419190E-01   1.416962E-01   2.228100E-04
     162.000000       0.821839       5.135157       5.956996   1.480850E-01   1.478460E-01   2.390361E-04
     163.000000       0.838491       5.258287       6.096779   1.544494E-01   1.541932E-01   2.562411E-04
     164.000000       0.855494       5.383975       6.239469   1.610159E-01   1.607415E-01   2.744715E-04
     165.000000       0.872853       5.512246       6.385099   1.677884E-01   1.674947E-01   2.937749E-04
     166.000000       0.890571       5.643127       6.533698   1.747707E-01   1.744565E-01   3.142010E-04
     167.000000       0.908654       5.776644       6.685298   1.819666E-01   1.816308E-01   3.358007E-04
     168.000000       0.927108       5.912821       6.839929   1.893798E-01   1.890212E-01   3.586266E-04
     169.000000       0.945936       6.051685       6.997621   1.970142E-01   1.966315E-01   3.827332E-04
     170.000000       0.965143       6.193258       7.158402   2.048736E-01   2.044654E-01   4.081764E-04
     171.000000       0.984735       6.337566       7.322301   2.129617E-01   2.125267E-01   4.350138E-04
     172.000000       1.004716       6.484631       7.489347   2.212824E-01   2.208191E-01   4.633049E-04
     173.000000       1.025091       6.634476       7.659567   2.298393E-01   2.293462E-01   4.931108E-04
     174.000000       1.045865       6.787124       7.832988   2.386363E-01   2.381118E-01   5.244946E-04
     175.000000       1.067041       6.942596       8.009637   2.476770E-01   2.471195E-01   5.575208E-04
     176.000000       1.088626       7.100914       8.189540   2.569652E-01   2.563729E-01   5.922560E-04
     177.000000       1.110623       7.262098       8.372721   2.665046E-01   2.658758E-01   6.287688E-04
     178.000000       1.133037       7.426170       8.559207   2.762988E-01   2.756317E-01   6.671292E-04
     179.000000       1.155872       7.593148       8.749021   2.863517E-01   2.856442E-01   7.074095E-04
     180.000000       1.179134       7.763053       8.942186   2.966666E-01   2.959170E-01   7.496838E-04
     181.000000       1.202825       7.935901       9.138727   3.072475E-01   3.064534E-01   7.940279E-04
     182.000000       1.226952       8.111713       9.338665   3.180977E-01   3.172572E-01   8.405200E-04
     183.000000       1.251518       8.290504       9.542022   3.292209E-01   3.283317E-01   8.892399E-04
     184.000000       1.276527       8.472293       9.748820   3.406207E-01   3.396804E-01   9.402696E-04
     185.000000       1.301983       8.657096       9.959079   3.523005E-01   3.513068E-01   9.936930E-04
     186.000000       1.327892       8.844927      10.172819   3.642639E-01   3.632144E-01   1.049596E-03
     187.000000       1.354256       9.035804      10.390060   3.765144E-01   3.754063E-01   1.108067E-03
     188.000000       1.381081       9.229740      10.610821   3.890554E-01   3.878862E-01   1.169196E-03
     189.000000       1.408369       9.426750      10.835119   4.018902E-01   4.006571E-01   1.233075E-03
     190.000000       1.436126       9.626846      11.062972   4.150223E-01   4.137225E-01   1.299798E-03
     191.000000       1.464354       9.830043      11.294398   4.284550E-01   4.270856E-01   1.369462E-03
     192.000000       1.493059      10.036353      11.529411   4.421917E-01   4.407495E-01   1.442166E-03
     193.000000       1.522243      10.245786      11.768029   4.562355E-01   4.547175E-01   1.518010E-03
     194.000000       1.551910      10.458355      12.010266   4.705898E-01   4.689927E-01   1.597097E-03
     195.000000       1.582065      10.674071      12.256136   4.852577E-01   4.835782E-01   1.679532E-03
     196.000000       1.612710      10.892942      12.505653   5.002424E-01   4.984770E-01   1.765423E-03
     197.000000       1.643850      11.114980      12.758830   5.155471E-01   5.136922E-01   1.854880E-03
     198.000000       1.675487      11.340192      13.015679   5.311748E-01   5.292267E-01   1.948014E-03
     199.000000       1.707626      11.568587      13.276213   5.471285E-01   5.450835E-01   2.044938E-03
     200.000000       1.740269      11.800173      13.540442   5.634113E-01   5.612655E-01   2.145771E-03
